Elapsed time,192.168.46.15 CPU core=0:user
09:16:24.0,0.201
09:16:25.0,0.0
09:16:26.0,1.0
09:16:27.0,0.0
09:16:28.0,0.0
09:16:29.0,0.0
09:16:30.0,0.0
09:16:31.0,67.676
09:16:32.0,84.0
09:16:33.0,95.959
09:16:34.0,93.069
09:16:35.0,99.0
09:16:36.0,98.979
09:16:37.0,97.979
09:16:38.0,98.0
09:16:39.0,99.0
09:16:40.0,97.959
09:16:41.0,97.029
09:16:42.0,97.0
09:16:43.0,96.938
09:16:44.0,98.0
09:16:45.0,94.949
09:16:46.0,96.0
09:16:47.0,98.0
09:16:48.0,95.833
09:16:49.0,97.029
09:16:50.0,96.0
09:16:51.0,96.969
09:16:52.0,98.0
09:16:53.0,96.969
09:16:54.0,97.979
09:16:55.0,98.989
09:16:56.0,99.0
09:16:57.0,98.0
09:16:58.0,98.989
09:16:59.0,98.989
09:17:00.0,97.0
09:17:01.0,96.969
09:17:02.0,98.0
09:17:03.0,98.989
09:17:04.0,98.0
09:17:05.0,97.029
09:17:06.0,98.979
09:17:07.0,97.029
09:17:08.0,99.0
09:17:09.0,97.0
09:17:10.0,99.0
09:17:11.0,96.0
09:17:12.0,97.959
09:17:13.0,97.0
09:17:14.0,99.0
09:17:15.0,95.049
09:17:16.0,98.989
09:17:17.0,98.0
09:17:18.0,97.959
09:17:19.0,98.989
09:17:20.0,98.989
09:17:21.0,97.0
09:17:22.0,96.969
09:17:23.0,98.989
09:17:24.0,97.0
09:17:25.0,97.029
09:17:26.0,97.959
09:17:27.0,98.0
09:17:28.0,97.959
09:17:29.0,98.0
09:17:30.0,95.959
09:17:31.0,45.918
09:17:32.0,3.0
09:17:33.0,0.0
09:17:34.0,1.01
09:17:35.0,0.0
09:17:36.0,0.0
09:17:37.0,0.0
09:17:38.0,0.0
09:17:39.0,0.0
09:17:40.0,0.0
09:17:41.0,0.0
09:17:42.0,1.0
09:17:43.0,0.0
09:17:44.0,56.565
09:17:45.0,96.0
09:17:46.0,98.0
09:17:47.0,98.019
09:17:48.0,90.909
09:17:49.0,91.919
09:17:50.0,95.918
09:17:51.0,97.0
09:17:52.0,93.939
09:17:53.0,93.069
09:17:54.0,93.939
09:17:55.0,92.0
09:17:56.0,96.969
09:17:57.0,95.049
09:17:58.0,94.0
09:17:59.0,93.0
09:18:00.0,96.0
09:18:01.0,95.959
09:18:02.0,93.877
09:18:03.0,96.969
09:18:04.0,92.156
09:18:05.0,94.0
09:18:06.0,97.979
09:18:07.0,97.979
09:18:08.0,91.0
09:18:09.0,93.877
09:18:10.0,93.939
09:18:11.0,93.939
09:18:12.0,93.939
09:18:13.0,97.0
09:18:14.0,96.0
09:18:15.0,94.0
09:18:16.0,94.059
09:18:17.0,94.897
09:18:18.0,95.0
09:18:19.0,93.069
09:18:20.0,95.049
09:18:21.0,94.949
09:18:22.0,95.049
09:18:23.0,98.0
09:18:24.0,94.949
09:18:25.0,94.949
09:18:26.0,94.949
09:18:27.0,96.0
09:18:28.0,92.929
09:18:29.0,92.0
09:18:30.0,93.939
09:18:31.0,96.969
09:18:32.0,92.929
09:18:33.0,93.0
09:18:34.0,90.196
09:18:35.0,95.833
09:18:36.0,96.0
09:18:37.0,96.969
09:18:38.0,95.049
09:18:39.0,92.0
09:18:40.0,95.0
09:18:41.0,96.0
09:18:42.0,97.0
09:18:43.0,96.938
09:18:44.0,94.0
09:18:45.0,93.939
09:18:46.0,91.919
09:18:47.0,96.0
09:18:48.0,98.979
09:18:49.0,95.959
09:18:50.0,23.913
09:18:51.0,13.861
09:18:52.0,0.0
09:18:53.0,1.01
09:18:54.0,0.0
09:18:55.0,0.0
09:18:56.0,1.98
09:18:57.0,0.0
09:18:58.0,0.0
09:18:59.0,0.0
09:19:00.0,0.0
09:19:01.0,0.0
09:19:02.0,0.0
09:19:03.0,40.816
09:19:04.0,91.836
09:19:05.0,96.039
09:19:06.0,99.0
09:19:07.0,97.979
09:19:08.0,97.029
09:19:09.0,97.0
09:19:10.0,96.969
09:19:11.0,96.0
09:19:12.0,98.989
09:19:13.0,97.979
09:19:14.0,98.979
09:19:15.0,98.0
09:19:16.0,100.0
09:19:17.0,98.989
09:19:18.0,98.019
09:19:19.0,97.979
09:19:20.0,97.979
09:19:21.0,98.0
09:19:22.0,98.0
09:19:23.0,99.0
09:19:24.0,97.979
09:19:25.0,98.0
09:19:26.0,96.969
09:19:27.0,94.949
09:19:28.0,96.969
09:19:29.0,96.0
09:19:30.0,94.949
09:19:31.0,96.969
09:19:32.0,97.029
09:19:33.0,100.0
09:19:34.0,98.0
09:19:35.0,97.0
09:19:36.0,98.989
09:19:37.0,96.0
09:19:38.0,97.0
09:19:39.0,99.0
09:19:40.0,97.959
09:19:41.0,97.029
09:19:42.0,97.959
09:19:43.0,96.0
09:19:44.0,98.0
09:19:45.0,99.0
09:19:46.0,96.0
09:19:47.0,95.0
09:19:48.0,98.989
09:19:49.0,94.949
09:19:50.0,37.0
09:19:51.0,1.01
09:19:52.0,0.0
09:19:53.0,0.0
09:19:54.0,0.0
09:19:55.0,0.0
09:19:56.0,0.0
09:19:57.0,0.0
09:19:58.0,0.0
09:19:59.0,0.0
09:20:00.0,0.99
09:20:01.0,0.0
09:20:02.0,4.0
09:20:03.0,51.0
09:20:04.0,89.0
09:20:05.0,98.019
09:20:06.0,97.959
09:20:07.0,97.979
09:20:08.0,93.939
09:20:09.0,96.969
09:20:10.0,98.0
09:20:11.0,96.0
