Elapsed time,192.168.46.11 CPU core=0:user,192.168.46.12 CPU core=0:user,192.168.46.13 CPU core=0:user
11:53:04.0,,0.47,
11:53:05.0,0.423,,
11:53:06.0,0.0,0.0,0.552
11:53:07.0,0.99,0.0,1.0
11:53:08.0,0.0,1.0,0.0
11:53:09.0,0.0,0.0,0.0
11:53:10.0,0.0,0.0,0.0
11:53:11.0,13.265,0.0,0.0
11:53:12.0,14.0,43.564,22.448
11:53:13.0,0.0,98.0,28.712
11:53:14.0,0.0,3.03,1.0
11:53:15.0,0.0,0.0,1.0
11:53:16.0,0.0,0.0,1.0
11:53:17.0,0.99,0.0,0.0
11:53:18.0,49.0,7.0,0.99
11:53:19.0,0.0,94.0,60.606
11:53:20.0,0.0,99.0,0.0
11:53:21.0,1.0,2.97,0.0
11:53:22.0,0.0,0.0,0.99
11:53:23.0,1.0,0.0,0.0
11:53:24.0,0.0,0.0,0.0
11:53:25.0,41.414,0.0,0.0
11:53:26.0,26.0,63.636,48.0
11:53:27.0,1.0,22.0,57.575
11:53:28.0,0.0,0.0,0.0
11:53:29.0,0.0,0.0,0.0
11:53:30.0,0.0,0.0,1.01
11:53:31.0,0.99,0.0,0.0
11:53:32.0,0.0,1.01,0.0
11:53:33.0,19.191,0.0,1.98
11:53:34.0,56.0,38.383,20.408
11:53:35.0,0.0,33.0,97.029
11:53:36.0,0.0,1.0,7.0
11:53:37.0,0.0,0.0,0.0
11:53:38.0,0.0,0.98,0.99
11:53:39.0,0.0,1.01,0.0
11:53:40.0,1.0,0.0,0.0
11:53:41.0,0.0,0.0,0.0
11:53:42.0,0.0,1.0,0.0
11:53:43.0,57.575,0.0,0.0
11:53:44.0,28.282,85.714,64.646
11:53:45.0,0.0,17.171,53.0
11:53:46.0,0.0,0.98,1.0
11:53:47.0,0.0,0.0,0.0
11:53:48.0,0.0,0.0,1.02
11:53:49.0,0.0,0.0,1.01
11:53:50.0,1.0,0.0,7.07
11:53:51.0,0.0,0.0,0.0
11:53:52.0,0.0,1.0,0.99
11:53:53.0,0.0,0.0,0.0
11:53:54.0,82.653,17.0,2.0
11:53:55.0,9.0,95.959,93.939
11:53:56.0,0.0,0.99,29.702
11:53:57.0,0.0,0.0,0.0
11:53:58.0,1.0,0.0,1.0
11:53:59.0,0.0,0.0,0.0
11:54:00.0,0.0,0.0,0.0
11:54:01.0,0.0,0.0,0.0
11:54:02.0,0.0,0.0,1.0
11:54:03.0,1.0,0.0,0.99
11:54:04.0,0.0,0.0,0.0
11:54:05.0,23.0,0.0,0.0
11:54:06.0,83.0,47.524,28.999
11:54:07.0,0.0,67.0,79.0
11:54:08.0,1.0,1.0,0.0
11:54:09.0,0.0,0.0,0.0
11:54:10.0,1.01,0.0,0.0
11:54:11.0,0.0,0.0,0.0
11:54:12.0,1.0,0.0,0.0
11:54:13.0,0.0,3.0,0.0
11:54:14.0,0.0,0.0,0.0
11:54:15.0,0.0,1.01,0.0
11:54:16.0,0.0,0.99,0.0
11:54:17.0,0.0,0.0,1.0
11:54:18.0,46.464,0.0,0.0
11:54:19.0,94.949,69.0,53.0
11:54:20.0,95.0,96.969,96.0
11:54:21.0,40.0,90.099,91.919
11:54:22.0,1.0,43.0,33.0
11:54:23.0,0.0,0.0,1.0
11:54:24.0,0.0,0.0,2.0
11:54:25.0,0.0,0.0,3.0
11:54:26.0,0.0,1.0,2.0
11:54:27.0,0.0,0.0,0.0
11:54:28.0,0.0,0.0,0.0
11:54:29.0,1.0,0.0,0.0
11:54:30.0,0.0,0.0,0.0
11:54:31.0,1.01,0.0,0.0
11:54:32.0,52.0,0.0,0.0
11:54:33.0,86.138,81.0,62.0
11:54:34.0,0.0,51.485,86.868
11:54:35.0,0.0,0.0,0.0
11:54:36.0,1.0,0.0,1.0
11:54:37.0,1.0,0.0,0.0
11:54:38.0,0.0,0.0,0.0
11:54:39.0,0.0,0.0,0.0
11:54:40.0,0.99,0.99,0.0
11:54:41.0,0.0,0.0,0.0
11:54:42.0,15.0,0.0,1.0
11:54:43.0,0.0,0.0,0.0
11:54:44.0,1.0,1.0,1.0
11:54:45.0,0.0,0.0,0.0
11:54:46.0,0.0,0.0,1.0
11:54:47.0,38.383,0.0,0.0
11:54:48.0,96.0,69.306,53.465
11:54:49.0,15.151,76.0,93.939
11:54:50.0,1.0,0.0,20.0
11:54:51.0,0.0,1.0,0.0
11:54:52.0,0.0,0.0,0.0
