Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
09:51:19.0,0.0,,0.0
09:51:20.0,0.0,0.0,0.0
09:51:21.0,0.0,0.0,0.0
09:51:22.0,0.0,0.0,0.0
09:51:23.0,0.0,0.0,0.0
09:51:24.0,0.0,0.0,0.0
09:51:25.0,0.0,0.0,0.0
09:51:26.0,0.0,0.0,0.0
09:51:27.0,0.0,0.0,0.0
09:51:28.0,0.16,0.0,0.042
09:51:29.0,0.0,0.031,0.0
09:51:30.0,0.0,0.0,0.0
09:51:31.0,0.0,0.0,0.0
09:51:32.0,0.0,0.0,0.0
09:51:33.0,0.0,0.0,0.0
09:51:34.0,0.0,0.0,0.0
09:51:35.0,0.0,0.0,0.0
09:51:36.0,0.0,0.0,0.0
09:51:37.0,0.0,0.0,0.0
09:51:38.0,0.0,0.0,0.0
09:51:39.0,0.0,0.0,0.0
09:51:40.0,0.0,0.0,0.0
09:51:41.0,0.0,0.0,0.0
09:51:42.0,0.0,0.0,0.0
09:51:43.0,89.269,0.0,26.808
09:51:44.0,293.027,28.554,93.351
09:51:45.0,126.035,188.5,77.269
09:51:46.0,105.152,321.824,73.218
09:51:47.0,148.097,345.046,49.351
09:51:48.0,52.042,344.808,36.359
09:51:49.0,37.296,349.347,35.851
09:51:50.0,35.742,395.621,40.07
09:51:51.0,39.675,411.972,42.96
09:51:52.0,35.566,430.738,36.996
09:51:53.0,37.519,410.152,40.085
09:51:54.0,33.832,403.269,38.101
09:51:55.0,34.75,393.8,35.433
09:51:56.0,40.394,379.281,36.355
09:51:57.0,63.23,346.55,42.632
09:51:58.0,67.96,410.773,38.683
09:51:59.0,38.039,349.445,36.152
09:52:00.0,35.183,403.593,37.378
09:52:01.0,37.214,422.082,37.753
09:52:02.0,35.617,420.933,38.113
09:52:03.0,121.667,433.902,33.539
09:52:04.0,60.097,386.988,39.519
09:52:05.0,36.503,354.855,39.113
09:52:06.0,39.808,413.992,37.851
09:52:07.0,35.859,415.351,41.148
09:52:08.0,35.425,407.863,35.949
09:52:09.0,35.882,401.304,37.933
09:52:10.0,35.07,413.925,40.035
09:52:11.0,42.015,414.507,41.324
09:52:12.0,37.031,403.429,36.035
09:52:13.0,55.875,397.136,41.433
09:52:14.0,76.988,381.957,42.968
09:52:15.0,73.863,372.128,42.148
09:52:16.0,37.707,337.398,42.539
09:52:17.0,89.101,396.746,47.593
09:52:18.0,74.968,340.007,152.554
09:52:19.0,123.523,222.062,85.238
09:52:20.0,83.976,287.082,91.281
09:52:21.0,99.976,273.89,42.257
09:52:22.0,110.144,325.824,215.199
09:52:23.0,91.312,149.664,88.191
09:52:24.0,113.183,285.609,49.632
09:52:25.0,130.207,301.273,255.769
09:52:26.0,208.425,78.71,119.394
09:52:27.0,149.183,165.781,124.285
09:52:28.0,115.734,159.136,219.457
09:52:29.0,171.804,169.32,79.707
09:52:30.0,75.558,180.023,266.832
09:52:31.0,196.632,114.472,118.75
09:52:32.0,105.695,187.132,105.664
09:52:33.0,147.382,214.457,301.535
09:52:34.0,287.265,85.359,63.617
09:52:35.0,183.382,131.121,135.664
09:52:36.0,109.32,114.281,240.117
09:52:37.0,258.64,142.964,89.593
09:52:38.0,93.441,127.515,189.75
09:52:39.0,95.468,154.097,167.183
09:52:40.0,255.503,244.64,199.281
09:52:41.0,203.468,65.804,64.378
09:52:42.0,80.167,181.089,172.785
09:52:43.0,134.406,189.425,215.882
09:52:44.0,252.222,143.828,128.851
09:52:45.0,139.312,164.796,61.015
09:52:46.0,105.253,216.476,233.242
09:52:47.0,299.16,165.507,113.523
09:52:48.0,120.878,130.808,223.507
09:52:49.0,94.132,65.015,165.796
09:52:50.0,315.347,268.667,83.671
09:52:51.0,124.527,136.171,236.906
09:52:52.0,105.023,62.882,153.828
09:52:53.0,272.699,282.519,84.292
09:52:54.0,104.769,163.218,233.664
09:52:55.0,100.156,92.097,208.011
09:52:56.0,279.085,244.519,51.039
09:52:57.0,97.058,189.464,235.21
09:52:58.0,127.609,90.777,167.566
09:52:59.0,229.351,236.16,212.906
09:53:00.0,136.597,65.824,106.828
09:53:01.0,98.804,218.57,267.031
09:53:02.0,92.941,120.152,135.519
09:53:03.0,226.597,292.972,39.734
09:53:04.0,163.25,259.277,271.566
09:53:05.0,92.914,40.867,202.808
09:53:06.0,209.304,169.664,151.441
09:53:07.0,292.875,184.14,91.671
09:53:08.0,99.109,131.765,218.64
09:53:09.0,109.136,109.105,148.328
09:53:10.0,198.753,281.351,78.636
09:53:11.0,104.289,217.886,266.992
09:53:12.0,142.007,92.878,132.628
09:53:13.0,261.019,260.746,181.675
09:53:14.0,58.105,64.894,100.148
09:53:15.0,130.906,275.089,199.699
09:53:16.0,267.656,175.003,115.792
09:53:17.0,116.996,142.105,51.5
09:53:18.0,106.812,262.191,299.808
09:53:19.0,151.48,102.789,134.652
09:53:20.0,316.64,223.07,56.972
09:53:21.0,74.335,152.394,262.492
09:53:22.0,113.234,69.062,210.687
09:53:23.0,233.613,217.347,114.148
09:53:24.0,107.562,157.98,217.906
09:53:25.0,107.585,112.335,100.105
09:53:26.0,247.644,307.496,184.906
09:53:27.0,165.308,82.41,132.347
09:53:28.0,103.574,128.707,95.429
09:53:29.0,254.535,308.671,149.41
09:53:30.0,100.628,94.886,100.562
09:53:31.0,48.738,258.203,168.855
09:53:32.0,252.019,212.816,219.617
09:53:33.0,238.371,96.632,48.886
09:53:34.0,57.031,138.679,246.039
09:53:35.0,179.91,140.992,188.074
09:53:36.0,247.988,159.988,63.062
09:53:37.0,84.007,158.222,262.375
09:53:38.0,125.308,102.273,174.195
09:53:39.0,276.183,221.625,90.152
09:53:40.0,55.707,91.82,202.816
09:53:41.0,213.488,202.988,94.738
09:53:42.0,231.625,205.734,196.164
09:53:43.0,58.019,63.226,111.933
09:53:44.0,106.007,274.312,130.171
09:53:45.0,197.976,247.398,195.214
09:53:46.0,141.164,93.214,134.609
09:53:47.0,144.023,181.21,156.656
09:53:48.0,214.468,185.187,194.882
09:53:49.0,113.218,107.226,91.031
09:53:50.0,119.367,240.429,244.527
09:53:51.0,164.191,118.164,101.148
09:53:52.0,131.808,228.171,149.378
09:53:53.0,96.109,126.628,229.812
09:53:54.0,268.785,184.91,53.843
09:53:55.0,130.914,154.664,230.476
09:53:56.0,113.25,37.593,155.941
09:53:57.0,250.601,250.261,128.496
09:53:58.0,149.546,99.855,80.847
09:53:59.0,140.218,174.707,147.167
09:54:00.0,273.273,208.226,165.996
09:54:01.0,57.523,42.667,112.39
09:54:02.0,77.804,239.656,125.976
09:54:03.0,281.125,273.421,145.832
09:54:04.0,140.031,86.21,131.414
09:54:05.0,91.398,124.531,148.683
09:54:06.0,273.554,249.675,159.742
09:54:07.0,226.804,87.699,44.039
09:54:08.0,82.875,136.82,254.796
09:54:09.0,197.66,108.328,179.054
09:54:10.0,277.562,169.617,44.738
09:54:11.0,124.695,160.566,239.335
09:54:12.0,95.054,57.8,154.171
09:54:13.0,254.48,252.406,146.652
09:54:14.0,136.343,106.031,116.656
09:54:15.0,99.824,163.214,148.093
09:54:16.0,266.0,224.468,187.066
09:54:17.0,85.398,61.132,92.726
09:54:18.0,133.457,245.933,217.171
09:54:19.0,345.632,160.613,137.136
09:54:20.0,70.257,38.105,79.488
09:54:21.0,83.757,256.992,281.785
09:54:22.0,243.898,114.605,141.46
09:54:23.0,148.585,144.679,57.152
09:54:24.0,89.484,220.433,268.949
09:54:25.0,171.957,91.015,227.742
09:54:26.0,234.316,149.839,49.32
09:54:27.0,141.097,200.828,251.429
09:54:28.0,23.894,56.152,125.007
09:54:29.0,0.0,91.023,0.05
09:54:30.0,0.0,0.0,0.0
09:54:31.0,0.0,0.0,0.0
09:54:32.0,0.0,0.0,0.0
09:54:33.0,0.0,0.0,0.0
09:54:34.0,0.0,0.0,0.0
09:54:35.0,0.0,0.0,0.0
09:54:36.0,0.0,0.0,0.0
09:54:37.0,0.0,0.0,0.0
09:54:38.0,0.0,0.0,0.0
09:54:39.0,0.0,0.0,0.0
09:54:40.0,0.0,0.0,0.0
09:54:41.0,0.0,0.0,0.0
09:54:42.0,0.0,0.0,0.0
09:54:43.0,0.0,0.0,0.0
09:54:44.0,0.0,0.0,0.0
09:54:45.0,0.0,0.0,0.0
09:54:46.0,0.0,0.0,0.0
09:54:47.0,0.0,0.0,0.0
09:54:48.0,0.0,0.0,0.0
09:54:49.0,0.0,0.0,0.308
09:54:50.0,0.0,0.0,0.0
09:54:51.0,0.0,0.0,0.0
09:54:52.0,0.0,0.0,0.0
09:54:53.0,0.0,0.0,0.0
09:54:54.0,0.0,0.0,0.0
09:54:55.0,0.0,0.0,0.0
09:54:56.0,0.0,0.0,0.0
09:54:57.0,0.312,0.0,0.0
09:54:58.0,0.0,0.0,0.0
09:54:59.0,0.0,0.0,0.0
09:55:00.0,0.0,0.0,0.0
09:55:01.0,2.375,0.0,0.0
09:55:02.0,0.0,0.972,3.214
09:55:03.0,0.992,3.011,0.0
09:55:04.0,0.0,0.0,0.0
09:55:05.0,0.0,0.0,0.0
09:55:06.0,0.0,0.0,0.0
09:55:07.0,0.0,0.0,0.0
09:55:08.0,0.0,0.0,0.0
09:55:09.0,0.0,0.0,0.0
09:55:10.0,0.0,0.0,0.0
09:55:11.0,0.0,0.0,0.0
09:55:12.0,0.0,0.003,0.0
09:55:13.0,0.0,0.0,0.0
09:55:14.0,0.0,0.0,0.0
09:55:15.0,0.0,0.0,0.0
09:55:16.0,0.0,0.0,0.0
09:55:17.0,0.0,0.0,0.0
09:55:18.0,0.0,0.0,0.0
09:55:19.0,0.0,0.0,0.0
09:55:20.0,0.0,0.0,0.0
09:55:21.0,0.0,0.0,0.0
09:55:22.0,0.0,0.003,0.0
09:55:23.0,0.0,0.0,0.0
09:55:24.0,0.0,0.0,0.0
09:55:25.0,0.0,0.0,0.0
09:55:26.0,0.0,0.0,0.0
