bm,docker,dockeriso,lxc
11.434666666666667,28.4735,120.82566666666666,21.897000000000002
22.899333333333335,80.22166666666666,191.93766666666667,26.080333333333336
41.778499999999994,93.92916666666666,313.7708333333333,44.69433333333333
68.044,219.63366666666664,302.08349999999996,60.49116666666667
100.19683333333333,202.932,285.9058333333333,126.15466666666667
126.53083333333332,178.47683333333333,240.18949999999998,94.82566666666668
183.79366666666667,184.38366666666664,311.26716666666664,102.47566666666667
136.7065,208.0718333333333,317.68516666666665,165.60000000000002
175.72166666666664,206.46883333333335,273.59583333333336,170.579
199.4786666666667,224.13344444444445,283.0168888888889,186.24183333333335
175.58350000000002,271.888,280.62333333333333,208.5725
220.59716666666665,229.85422222222223,276.3154166666667,229.07966666666664
204.00833333333333,278.5461111111111,264.9626666666667,298.6643333333333
242.75299999999996,301.974,281.3265833333333,235.80766666666668
250.45166666666668,280.5177777777778,251.88933333333338,215.55474999999998
224.07891666666666,283.4631111111111,272.54066666666665,236.3901666666667
242.44666666666666,339.64977777777773,280.87320000000005,227.13
274.80649999999997,287.43675,317.54566666666665,235.2524
225.2389333333333,249.91153333333332,284.18383333333327,236.651
266.55920000000003,264.2099333333333,303.9113888888889,196.4415
