bm,docker,dockeriso,lxc
3.5366666666666666,23.636333333333333,32.6355,27.92966666666667
5.588166666666667,36.93366666666667,27.887222222222224,17.094166666666666
9.1995,36.588499999999996,57.74716666666667,35.62566666666667
15.360333333333333,32.41844444444445,33.94533333333334,36.674
21.10366666666667,43.230000000000004,51.832166666666666,26.00111111111111
27.78533333333333,31.184888888888892,34.31366666666666,39.42233333333333
19.81988888888889,38.766333333333336,39.086000000000006,27.268222222222224
29.277833333333334,38.071333333333335,43.96233333333333,32.95144444444445
35.73883333333333,29.936249999999998,36.43866666666667,38.06422222222222
42.20583333333333,51.08255555555556,45.594,44.24688888888889
30.060444444444446,35.28308333333334,28.57375,48.32366666666667
29.75983333333333,32.32575,25.877499999999998,47.53941666666667
34.53441666666667,32.27,17.92833333333333,50.99216666666666
38.92808333333333,32.811083333333336,21.27683333333333,45.82173333333333
33.90273333333334,28.47853333333334,21.788866666666667,54.467200000000005
39.891533333333335,36.7844,23.5582,55.34253333333332
46.9308,41.85953333333334,23.89016666666667,47.300999999999995
43.90099999999999,38.45138888888889,26.80161111111111,51.62844444444445
41.05288888888889,45.50811111111111,29.893888888888885,46.07642857142857
50.877611111111115,43.6155,34.02238888888889,48.734611111111114
