Elapsed time,192.168.46.15 CPU user
11:05:00.0,0.281
11:05:01.0,0.0
11:05:02.0,0.0
11:05:03.0,0.25
11:05:04.0,8.142
11:05:05.0,45.431
11:05:06.0,22.75
11:05:07.0,22.055
11:05:08.0,22.361
11:05:09.0,22.556
11:05:10.0,22.25
11:05:11.0,22.055
11:05:12.0,22.305
11:05:13.0,21.859
11:05:14.0,22.556
11:05:15.0,20.3
11:05:16.0,22.278
11:05:17.0,19.696
11:05:18.0,20.75
11:05:19.0,20.698
11:05:20.0,21.052
11:05:21.0,67.948
11:05:22.0,83.879
11:05:23.0,83.879
11:05:24.0,84.21
11:05:25.0,79.797
11:05:26.0,51.861
11:05:27.0,48.091
11:05:28.0,49.874
11:05:29.0,43.434
11:05:30.0,46.599
11:05:31.0,41.708
11:05:32.0,46.851
11:05:33.0,37.215
11:05:34.0,43.859
11:05:35.0,54.364
11:05:36.0,43.434
11:05:37.0,43.25
11:05:38.0,42.643
11:05:39.0,45.728
11:05:40.0,44.783
11:05:41.0,43.073
11:05:42.0,43.797
11:05:43.0,38.071
11:05:44.0,37.215
11:05:45.0,39.097
11:05:46.0,46.115
11:05:47.0,39.185
11:05:48.0,37.563
11:05:49.0,36.802
11:05:50.0,40.399
11:05:51.0,37.626
11:05:52.0,39.493
11:05:53.0,41.057
11:05:54.0,43.073
11:05:55.0,38.636
11:05:56.0,35.087
11:05:57.0,40.806
11:05:58.0,42.424
11:05:59.0,39.195
11:06:00.0,42.211
11:06:01.0,41.457
11:06:02.0,37.25
11:06:03.0,36.132
11:06:04.0,38.987
11:06:05.0,35.768
11:06:06.0,33.585
11:06:07.0,36.111
11:06:08.0,36.683
11:06:09.0,35.012
11:06:10.0,31.75
11:06:11.0,34.079
11:06:12.0,40.954
11:06:13.0,35.678
11:06:14.0,30.226
11:06:15.0,31.658
11:06:16.0,37.468
11:06:17.0,35.606
11:06:18.0,36.202
11:06:19.0,35.012
11:06:20.0,50.502
11:06:21.0,32.33
11:06:22.0,34.005
11:06:23.0,34.76
11:06:24.0,35.75
11:06:25.0,38.287
11:06:26.0,38.442
11:06:27.0,39.24
11:06:28.0,39.949
11:06:29.0,42.821
11:06:30.0,40.554
11:06:31.0,34.936
11:06:32.0,40.852
11:06:33.0,44.139
11:06:34.0,41.221
11:06:35.0,39.746
11:06:36.0,34.76
11:06:37.0,35.338
11:06:38.0,38.422
11:06:39.0,40.201
11:06:40.0,41.102
11:06:41.0,41.206
11:06:42.0,39.898
11:06:43.0,39.348
11:06:44.0,36.775
11:06:45.0,40.759
11:06:46.0,34.438
11:06:47.0,36.09
11:06:48.0,36.363
11:06:49.0,37.343
11:06:50.0,33.834
11:06:51.0,34.096
11:06:52.0,34.085
11:06:53.0,34.005
11:06:54.0,37.373
11:06:55.0,32.745
11:06:56.0,33.417
11:06:57.0,38.832
11:06:58.0,40.796
11:06:59.0,41.116
11:07:00.0,41.012
11:07:01.0,38.902
11:07:02.0,40.151
11:07:03.0,41.813
11:07:04.0,42.569
11:07:05.0,54.636
11:07:06.0,48.362
11:07:07.0,37.185
11:07:08.0,34.936
11:07:09.0,35.516
11:07:10.0,43.181
11:07:11.0,36.224
11:07:12.0,36.111
11:07:13.0,38.442
11:07:14.0,38.095
11:07:15.0,31.565
11:07:16.0,31.486
11:07:17.0,30.402
11:07:18.0,29.722
11:07:19.0,28.999
11:07:20.0,27.638
11:07:21.0,28.822
11:07:22.0,29.145
11:07:23.0,30.226
11:07:24.0,29.219
11:07:25.0,31.155
11:07:26.0,38.832
11:07:27.0,39.393
11:07:28.0,41.919
11:07:29.0,39.447
11:07:30.0,39.34
11:07:31.0,37.905
11:07:32.0,39.294
11:07:33.0,38.636
11:07:34.0,36.868
11:07:35.0,38.0
11:07:36.0,42.278
11:07:37.0,43.939
11:07:38.0,35.768
11:07:39.0,35.012
11:07:40.0,35.839
11:07:41.0,40.796
11:07:42.0,41.604
11:07:43.0,41.309
11:07:44.0,41.666
11:07:45.0,39.141
11:07:46.0,40.656
11:07:47.0,40.399
11:07:48.0,40.0
11:07:49.0,36.432
11:07:50.0,36.18
11:07:51.0,41.102
11:07:52.0,41.604
11:07:53.0,40.201
11:07:54.0,34.01
11:07:55.0,37.027
11:07:56.0,37.0
11:07:57.0,34.09
11:07:58.0,34.586
11:07:59.0,35.839
11:08:00.0,40.0
11:08:01.0,39.141
11:08:02.0,40.0
11:08:03.0,37.437
11:08:04.0,32.581
11:08:05.0,28.14
11:08:06.0,0.501
11:08:07.0,0.5
11:08:08.0,0.0
11:08:09.0,0.498
11:08:10.0,1.002
11:08:11.0,0.25
11:08:12.0,1.758
11:08:13.0,1.503
11:08:14.0,0.25
11:08:15.0,0.25
11:08:16.0,0.995
11:08:17.0,0.25
11:08:18.0,2.77
