Elapsed time,192.168.46.15 Memory unit=mb:used
09:16:24.0,10160.562
09:16:25.0,10160.714
09:16:26.0,10160.746
09:16:27.0,10160.761
09:16:28.0,10160.914
09:16:29.0,10160.945
09:16:30.0,10161.007
09:16:31.0,10291.007
09:16:32.0,10307.984
09:16:33.0,10340.519
09:16:34.0,10416.761
09:16:35.0,10493.953
09:16:36.0,10542.238
09:16:37.0,10573.265
09:16:38.0,10624.804
09:16:39.0,10669.324
09:16:40.0,10712.789
09:16:41.0,10752.464
09:16:42.0,10796.933
09:16:43.0,10845.398
09:16:44.0,10875.718
09:16:45.0,10936.07
09:16:46.0,10957.472
09:16:47.0,11009.261
09:16:48.0,11053.816
09:16:49.0,11054.078
09:16:50.0,11046.636
09:16:51.0,11046.011
09:16:52.0,11045.378
09:16:53.0,11046.425
09:16:54.0,11045.582
09:16:55.0,11046.921
09:16:56.0,11045.824
09:16:57.0,11048.605
09:16:58.0,11046.21
09:16:59.0,11047.085
09:17:00.0,11047.976
09:17:01.0,11045.984
09:17:02.0,11051.601
09:17:03.0,11047.722
09:17:04.0,11049.05
09:17:05.0,11049.406
09:17:06.0,11047.343
09:17:07.0,11049.714
09:17:08.0,11048.496
09:17:09.0,11049.976
09:17:10.0,11049.601
09:17:11.0,11049.363
09:17:12.0,11048.488
09:17:13.0,11050.183
09:17:14.0,11047.121
09:17:15.0,11048.359
09:17:16.0,11051.015
09:17:17.0,11050.558
09:17:18.0,11049.277
09:17:19.0,11048.839
09:17:20.0,11047.98
09:17:21.0,11050.539
09:17:22.0,11049.519
09:17:23.0,11048.109
09:17:24.0,11049.203
09:17:25.0,11050.996
09:17:26.0,11050.027
09:17:27.0,11048.976
09:17:28.0,11049.179
09:17:29.0,11049.578
09:17:30.0,11289.351
09:17:31.0,11829.921
09:17:32.0,11656.89
09:17:33.0,11657.007
09:17:34.0,11653.875
09:17:35.0,11653.546
09:17:36.0,11653.546
09:17:37.0,11653.156
09:17:38.0,11653.093
09:17:39.0,11652.968
09:17:40.0,11652.968
09:17:41.0,11653.0
09:17:42.0,11653.074
09:17:43.0,11653.105
09:17:44.0,11654.464
09:17:45.0,11658.613
09:17:46.0,11663.218
09:17:47.0,11671.085
09:17:48.0,11671.546
09:17:49.0,11671.171
09:17:50.0,11657.046
09:17:51.0,11656.828
09:17:52.0,11656.703
09:17:53.0,11657.015
09:17:54.0,11656.98
09:17:55.0,11656.949
09:17:56.0,11657.136
09:17:57.0,11656.933
09:17:58.0,11657.117
09:17:59.0,11657.398
09:18:00.0,11657.054
09:18:01.0,11657.398
09:18:02.0,11657.488
09:18:03.0,11657.238
09:18:04.0,11659.238
09:18:05.0,11659.39
09:18:06.0,11659.359
09:18:07.0,11659.484
09:18:08.0,11659.855
09:18:09.0,11659.667
09:18:10.0,11659.699
09:18:11.0,11659.757
09:18:12.0,11659.882
09:18:13.0,11659.914
09:18:14.0,11659.722
09:18:15.0,11659.785
09:18:16.0,11659.91
09:18:17.0,11659.683
09:18:18.0,11659.839
09:18:19.0,11662.089
09:18:20.0,11662.199
09:18:21.0,11662.167
09:18:22.0,11662.355
09:18:23.0,11662.351
09:18:24.0,11662.101
09:18:25.0,11661.945
09:18:26.0,11662.164
09:18:27.0,11661.914
09:18:28.0,11662.191
09:18:29.0,11662.097
09:18:30.0,11662.222
09:18:31.0,11662.269
09:18:32.0,11662.406
09:18:33.0,11662.812
09:18:34.0,11662.406
09:18:35.0,11662.281
09:18:36.0,11662.714
09:18:37.0,11662.527
09:18:38.0,11662.152
09:18:39.0,11662.683
09:18:40.0,11662.835
09:18:41.0,11662.898
09:18:42.0,11662.554
09:18:43.0,11662.8
09:18:44.0,11662.613
09:18:45.0,11662.878
09:18:46.0,11662.816
09:18:47.0,11663.0
09:18:48.0,11842.851
09:18:49.0,11986.449
09:18:50.0,12270.73
09:18:51.0,12270.542
09:18:52.0,12270.726
09:18:53.0,12267.945
09:18:54.0,12267.699
09:18:55.0,12267.562
09:18:56.0,12267.746
09:18:57.0,12267.683
09:18:58.0,12267.652
09:18:59.0,12267.652
09:19:00.0,12267.683
09:19:01.0,12267.652
09:19:02.0,12267.652
09:19:03.0,12269.363
09:19:04.0,12269.699
09:19:05.0,12269.886
09:19:06.0,12270.066
09:19:07.0,12270.191
09:19:08.0,12270.316
09:19:09.0,12270.343
09:19:10.0,12270.359
09:19:11.0,12270.542
09:19:12.0,12270.48
09:19:13.0,12270.632
09:19:14.0,12270.789
09:19:15.0,12270.597
09:19:16.0,12270.628
09:19:17.0,12270.812
09:19:18.0,12270.902
09:19:19.0,12270.761
09:19:20.0,12271.179
09:19:21.0,12271.054
09:19:22.0,12271.175
09:19:23.0,12271.207
09:19:24.0,12271.328
09:19:25.0,12271.203
09:19:26.0,12271.417
09:19:27.0,12271.324
09:19:28.0,12271.507
09:19:29.0,12271.476
09:19:30.0,12271.57
09:19:31.0,12271.566
09:19:32.0,12271.66
09:19:33.0,12271.765
09:19:34.0,12272.031
09:19:35.0,12271.808
09:19:36.0,12271.589
09:19:37.0,12271.773
09:19:38.0,12271.835
09:19:39.0,12272.347
09:19:40.0,12271.816
09:19:41.0,12272.066
09:19:42.0,12272.125
09:19:43.0,12272.421
09:19:44.0,12272.339
09:19:45.0,12272.214
09:19:46.0,12272.273
09:19:47.0,12272.304
09:19:48.0,12272.519
09:19:49.0,12424.625
09:19:50.0,13001.539
09:19:51.0,12880.957
09:19:52.0,12880.57
09:19:53.0,12878.421
09:19:54.0,12878.218
09:19:55.0,12878.019
09:19:56.0,12877.863
09:19:57.0,12877.738
09:19:58.0,12877.617
09:19:59.0,12877.617
09:20:00.0,12877.648
09:20:01.0,12877.601
09:20:02.0,12877.632
09:20:03.0,12879.824
09:20:04.0,12880.167
09:20:05.0,12880.351
09:20:06.0,12880.289
09:20:07.0,12880.503
09:20:08.0,12880.441
09:20:09.0,12880.687
09:20:10.0,12880.906
09:20:11.0,12880.777
09:20:12.0,12880.699
09:20:13.0,12880.882
09:20:14.0,12880.71
09:20:15.0,12881.035
09:20:16.0,12881.191
09:20:17.0,12881.218
09:20:18.0,12881.062
09:20:19.0,12881.125
09:20:20.0,12881.152
09:20:21.0,12880.902
09:20:22.0,12881.46
09:20:23.0,12881.585
09:20:24.0,12881.425
09:20:25.0,12881.347
09:20:26.0,12881.375
09:20:27.0,12881.656
09:20:28.0,12881.746
09:20:29.0,12881.808
09:20:30.0,12881.804
09:20:31.0,12881.742
09:20:32.0,12881.832
09:20:33.0,12881.863
09:20:34.0,12882.171
09:20:35.0,12881.953
09:20:36.0,12882.14
09:20:37.0,12882.386
09:20:38.0,12882.136
09:20:39.0,12882.32
09:20:40.0,12882.367
09:20:41.0,12882.3
09:20:42.0,12882.394
09:20:43.0,12882.296
09:20:44.0,12882.484
09:20:45.0,12882.89
09:20:46.0,12882.628
09:20:47.0,12883.824
09:20:48.0,12883.957
09:20:49.0,12883.386
09:20:50.0,12881.609
09:20:51.0,12881.347
09:20:52.0,12881.285
09:20:53.0,12881.175
09:20:54.0,12881.113
09:20:55.0,12881.128
09:20:56.0,12881.097
09:20:57.0,12881.097
09:20:58.0,12881.156
09:20:59.0,12881.187
09:21:00.0,12881.277
09:21:01.0,12881.308
09:21:02.0,12881.398
09:21:03.0,12881.429
09:21:04.0,12881.519
09:21:05.0,11619.054
09:21:06.0,11618.851
