Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
12:30:24.0,0.0,,0.0
12:30:25.0,1.625,0.0,0.0
12:30:26.0,0.0,0.0,0.074
12:30:27.0,0.0,0.0,0.0
12:30:28.0,0.0,0.0,0.0
12:30:29.0,0.062,0.101,0.0
12:30:30.0,0.019,0.0,0.0
12:30:31.0,0.0,0.0,0.07
12:30:32.0,0.0,0.0,0.0
12:30:33.0,0.058,0.0,0.0
12:30:34.0,0.0,0.292,0.0
12:30:35.0,0.0,0.0,0.0
12:30:36.0,0.0,0.0,0.089
12:30:37.0,0.0,0.0,0.0
12:30:38.0,0.0,0.0,2.738
12:30:39.0,0.058,0.078,0.0
12:30:40.0,0.003,0.0,0.0
12:30:41.0,0.0,0.0,0.07
12:30:42.0,0.0,0.0,0.0
12:30:43.0,0.058,2.878,0.0
12:30:44.0,0.0,0.0,0.0
12:30:45.0,2.753,0.0,0.0
12:30:46.0,0.0,0.0,0.109
12:30:47.0,0.0,0.089,0.0
12:30:48.0,0.0,0.0,0.0
12:30:49.0,0.074,0.082,0.0
12:30:50.0,1.558,0.0,0.0
12:30:51.0,0.0,0.0,0.078
12:30:52.0,0.0,0.0,0.0
12:30:53.0,0.027,0.0,14.796
12:30:54.0,0.0,12.957,0.0
12:30:55.0,0.0,0.0,0.0
12:30:56.0,0.0,0.0,0.085
12:30:57.0,29.867,0.0,16.16
12:30:58.0,0.0,0.0,0.0
12:30:59.0,0.0,20.125,0.0
12:31:00.0,0.0,0.0,0.0
12:31:01.0,0.0,0.0,0.0
12:31:02.0,0.066,0.0,0.074
12:31:03.0,0.015,0.0,0.0
12:31:04.0,0.0,0.093,32.535
12:31:05.0,31.777,0.0,0.097
12:31:06.0,0.109,0.0,2.816
12:31:07.0,0.0,31.945,6.175
12:31:08.0,8.867,0.0,8.382
12:31:09.0,8.453,0.136,0.683
12:31:10.0,11.738,0.0,11.0
12:31:11.0,0.0,0.0,9.687
12:31:12.0,9.761,0.0,32.109
12:31:13.0,32.453,0.007,13.003
12:31:14.0,11.128,32.191,0.0
12:31:15.0,0.125,0.0,11.011
12:31:16.0,11.019,8.832,0.429
12:31:17.0,0.109,0.0,0.0
12:31:18.0,0.0,1.765,14.222
12:31:19.0,14.273,0.105,0.0
12:31:20.0,1.933,0.0,43.378
12:31:21.0,43.621,31.847,8.929
12:31:22.0,8.816,0.0,0.0
12:31:23.0,0.261,0.0,13.558
12:31:24.0,0.0,8.332,0.121
12:31:25.0,0.0,0.113,5.828
12:31:26.0,13.562,11.601,0.082
12:31:27.0,5.437,0.097,0.0
12:31:28.0,3.937,9.781,44.617
12:31:29.0,28.375,0.128,0.0
12:31:30.0,0.0,34.5,0.054
12:31:31.0,0.0,9.273,0.089
12:31:32.0,11.867,0.0,0.0
12:31:33.0,0.222,11.156,13.222
12:31:34.0,0.0,0.14,0.113
12:31:35.0,0.0,14.082,0.0
12:31:36.0,13.066,0.113,0.085
12:31:37.0,32.789,0.0,44.371
12:31:38.0,0.0,11.597,0.058
12:31:39.0,0.0,31.582,0.0
12:31:40.0,12.597,8.824,15.902
12:31:41.0,0.0,0.113,0.0
12:31:42.0,0.0,13.554,0.0
12:31:43.0,0.0,0.007,0.117
12:31:44.0,0.21,5.648,0.0
12:31:45.0,0.128,0.125,0.117
12:31:46.0,0.0,0.0,0.394
12:31:47.0,22.242,0.0,31.867
12:31:48.0,15.933,0.031,59.07
12:31:49.0,0.0,47.101,13.601
12:31:50.0,9.941,0.0,0.0
12:31:51.0,12.992,13.308,0.0
12:31:52.0,0.312,0.0,0.0
12:31:53.0,57.492,3.058,0.121
12:31:54.0,0.191,12.652,13.589
12:31:55.0,16.816,0.0,0.0
12:31:56.0,0.0,0.0,17.273
12:31:57.0,0.0,0.0,0.253
12:31:58.0,13.359,0.078,32.113
12:31:59.0,32.433,0.0,15.042
12:32:00.0,0.054,24.476,0.0
12:32:01.0,0.0,15.89,0.0
12:32:02.0,15.128,10.425,0.0
12:32:03.0,0.0,13.46,37.699
12:32:04.0,6.171,0.105,0.0
12:32:05.0,32.781,0.0,0.0
12:32:06.0,8.242,13.386,48.308
12:32:07.0,32.71,0.105,0.089
12:32:08.0,0.0,13.714,12.496
12:32:09.0,0.0,31.605,0.16
12:32:10.0,0.136,1.101,0.0
12:32:11.0,12.597,15.148,12.468
12:32:12.0,0.0,0.0,0.0
12:32:13.0,0.0,12.515,0.097
12:32:14.0,31.578,0.0,44.285
12:32:15.0,12.578,8.32,5.167
12:32:16.0,0.0,0.0,0.136
12:32:17.0,0.0,12.464,0.089
12:32:18.0,11.835,32.945,11.089
12:32:19.0,0.0,12.468,0.152
12:32:20.0,5.441,30.128,0.0
12:32:21.0,0.0,12.113,16.535
12:32:22.0,0.0,0.0,31.882
12:32:23.0,31.882,5.519,1.601
12:32:24.0,11.007,31.878,0.0
12:32:25.0,48.894,10.718,13.902
12:32:26.0,0.0,0.152,0.0
12:32:27.0,16.589,0.0,0.089
12:32:28.0,0.136,18.656,66.367
12:32:29.0,0.0,0.117,0.113
12:32:30.0,26.921,0.031,0.0
12:32:31.0,0.238,13.98,18.007
12:32:32.0,32.089,32.609,27.578
12:32:33.0,13.519,13.503,12.539
12:32:34.0,0.23,0.203,0.0
12:32:35.0,28.132,54.785,14.613
12:32:36.0,13.613,13.722,14.527
12:32:37.0,0.0,0.128,0.394
12:32:38.0,0.0,0.042,17.464
12:32:39.0,14.796,14.757,11.89
12:32:40.0,0.011,0.031,31.765
12:32:41.0,43.57,58.394,0.0
12:32:42.0,0.699,33.515,0.0
12:32:43.0,0.0,0.082,0.093
12:32:44.0,0.0,12.695,0.0
12:32:45.0,0.121,0.0,0.476
12:32:46.0,0.0,0.0,1.179
12:32:47.0,0.117,11.878,12.722
12:32:48.0,0.015,9.195,0.089
12:32:49.0,0.0,0.136,12.011
12:32:50.0,12.824,0.0,29.148
12:32:51.0,14.542,0.0,0.0
12:32:52.0,11.902,0.0,13.8
12:32:53.0,0.082,0.14,0.664
12:32:54.0,9.347,28.964,12.257
12:32:55.0,0.054,0.0,14.23
12:32:56.0,13.843,26.644,7.25
12:32:57.0,55.109,0.226,0.113
12:32:58.0,5.277,0.554,14.675
12:32:59.0,0.0,14.281,5.335
12:33:00.0,15.019,0.117,0.0
12:33:01.0,0.0,11.714,0.0
12:33:02.0,11.91,0.332,43.039
12:33:03.0,0.121,40.425,0.308
12:33:04.0,12.816,4.964,0.0
12:33:05.0,49.453,10.777,13.511
12:33:06.0,3.875,51.402,0.0
12:33:07.0,10.742,0.476,13.355
12:33:08.0,0.214,13.796,54.796
12:33:09.0,0.0,0.132,0.0
12:33:10.0,13.703,13.23,35.253
12:33:11.0,0.0,34.269,32.531
12:33:12.0,13.304,0.0,18.808
12:33:13.0,32.25,47.058,0.23
12:33:14.0,0.0,0.031,0.0
12:33:15.0,30.585,11.898,0.0
